"1.png"	1	"1"
"2.png"	1	"1"
"25.png"	2	"1"
"84.png"	2	"1"
"34.png"	2	"1"
"38.png"	2	"1"
"77.png"	2	"1"
"68.png"	2	"1"
"10.png"	2	"1"
"40.png"	2	"1"
"18.png"	2	"1"
"85.png"	2	"1"
"42.png"	2	"1"
"86.png"	2	"1"
"88.png"	2	"1"
"50.png"	2	"1"
"41.png"	2	"1"
"23.png"	2	"1"
"30.png"	2	"1"
"24.png"	2	"1"
"60.png"	2	"1"
"7.png"	2	"1"
"3.png"	2	"1"
"98.png"	2	"1"
"69.png"	2	"1"
"72.png"	2	"1"
"15.png"	2	"1"
"97.png"	2	"1"
"28.png"	2	"1"
"52.png"	2	"1"
"11.png"	2	"1"
"71.png"	2	"1"
"6.png"	2	"1"
"81.png"	2	"1"
"80.png"	2	"1"
"78.png"	2	"1"
"53.png"	2	"1"
"21.png"	2	"1"
"12.png"	2	"1"
"37.png"	2	"1"
"43.png"	2	"1"
"19.png"	2	"1"
"57.png"	2	"1"
"20.png"	2	"1"
"82.png"	2	"1"
"22.png"	2	"1"
"63.png"	2	"1"
"55.png"	2	"1"
"5.png"	2	"1"
"9.png"	2	"1"
"39.png"	2	"1"
"56.png"	2	"1"
"29.png"	2	"1"
"73.png"	2	"1"
"70.png"	2	"1"
"13.png"	2	"1"
"44.png"	2	"1"
"58.png"	2	"1"
"49.png"	2	"1"
"47.png"	2	"1"
"8.png"	2	"1"
"27.png"	2	"1"
"35.png"	2	"1"
"59.png"	2	"1"
"94.png"	2	"1"
"26.png"	2	"1"
"62.png"	2	"1"
"51.png"	2	"1"
"91.png"	2	"1"
"89.png"	2	"1"
"90.png"	2	"1"
"79.png"	2	"1"
"74.png"	2	"1"
"45.png"	2	"1"
"16.png"	2	"1"
"67.png"	2	"1"
"36.png"	2	"1"
"93.png"	2	"1"
"92.png"	2	"1"
"14.png"	2	"1"
"54.png"	2	"1"
"87.png"	2	"1"
"32.png"	2	"1"
"61.png"	2	"1"
"46.png"	2	"1"
"76.png"	2	"1"
"96.png"	2	"1"
"33.png"	2	"1"
"48.png"	2	"1"
"65.png"	2	"1"
"31.png"	2	"1"
"64.png"	2	"1"
"4.png"	2	"1"
"75.png"	2	"1"
"66.png"	2	"1"
"17.png"	2	"1"
"83.png"	2	"1"
"95.png"	2	"1"
"100.png"	3	"1"
"99.png"	3	"1"
"100.png"	3	"1"
"100.png"	3	"1"
"99.png"	3	"1"
"100.png"	3	"1"
"99.png"	3	"1"
"99.png"	3	"1"
