subject,nv,compression,roi_energy_pct,grid_nrmse,grid_corr,grid_snr,grid_snr_ref,steva_nrmse,steva_corr,steva_snr,steva_snr_ref,snr_change_pct
1,6,8.66666666666667,97.2685680504337,0.01790077,0.999745771955356,4.156797,5.802953,0.01563348,0.999822104521741,9.842648,8.176201,-28.36756
2,6,8.66666666666667,97.9517985427323,0.01292321,0.999888525875525,5.363853,6.416754,0.01112174,0.999922196205669,14.18681,11.60839,-16.40863
3,6,8.66666666666667,98.2985849310052,0.0159373,0.999691340305632,4.716305,6.148346,0.01367353,0.999781570784627,9.767271,8.813684,-23.29149
4,6,8.66666666666667,98.4505789355378,0.01576983,0.999781559931809,3.856626,5.159742,0.01623286,0.999788802359563,8.822271,8.464186,-25.25546
5,6,8.66666666666667,98.5267736091847,0.02010691,0.99967972498924,3.296414,4.316689,0.9543726,0.219978756087654,6.511856,0.4003956,-23.63559
6,6,8.66666666666667,97.4614380476297,0.02606935,0.999395151828322,4.078124,4.952926,0.03103068,0.999155384467464,7.889313,6.50043,-17.66233
7,6,8.66666666666667,97.377264641098,0.0176315,0.999711326709126,4.536263,5.798054,0.01958514,0.999661515058497,11.34662,10.82442,-21.76233
8,6,8.66666666666667,97.3164496282467,0.01726394,0.999733834229321,3.533063,5.403737,0.01942329,0.999688690820183,7.660565,8.373133,-34.61814
9,6,8.66666666666667,97.2648523851607,0.01435476,0.99981238765137,5.166291,6.665251,0.03354069,0.999005187744739,11.86041,11.40788,-22.48918
10,6,8.66666666666667,98.0850028911464,0.009062346,0.999908686252084,7.570504,8.090893,0.03042772,0.999155494749603,27.00302,25.4861,-6.431788
11,6,8.66666666666667,97.4642582514542,0.01440423,0.999825854502662,6.165952,8.685062,0.0303505,0.999293938411607,15.96316,14.58388,-29.0051
12,6,8.66666666666667,96.8971142830555,0.01950406,0.99961223178868,5.16111,6.077775,0.03114367,0.999101080803342,11.33171,9.891749,-15.08225
13,6,8.66666666666667,97.9660942266213,0.01225091,0.999886937521094,5.900072,6.612809,0.04179703,0.998829929238313,14.24081,11.38237,-10.77813
14,6,8.66666666666667,97.9076146465865,0.01505355,0.999795720966696,4.892149,5.948255,0.03707791,0.998807413773373,10.40243,9.762207,-17.75488
15,6,8.66666666666667,98.5509994735912,0.01156078,0.999886503731286,6.208108,6.843552,0.02597358,0.999466863159955,12.49538,11.72546,-9.285283
