subject,nv,compression,roi_energy_pct,grid_nrmse,grid_corr,grid_snr,grid_snr_ref,steva_nrmse,steva_corr,steva_snr,steva_snr_ref,snr_change_pct
1,4,13,92.6820615584749,0.02777644,0.9993880820458,3.612727,5.802953,0.02373748,0.999577391832666,9.489575,8.176201,-37.7433
2,4,13,94.5493327602281,0.02082208,0.999711282837703,5.280046,6.416754,0.01726005,0.999812945527439,14.26338,11.60839,-17.71469
3,4,13,95.6465789865809,0.0220702,0.999407912448278,4.316262,6.148346,0.01796647,0.999620191364453,10.04909,8.813684,-29.79801
4,4,13,96.14335037126,0.02092294,0.999615903258362,3.515242,5.159742,0.01956496,0.999687863585926,9.058342,8.464186,-31.87175
5,4,13,96.1291089800098,0.024675,0.999517578436151,2.864545,4.316689,0.9545607,0.220112252518938,6.356905,0.4003956,-33.64023
6,4,13,93.6669506441911,0.03090485,0.99915016277776,3.767902,4.952926,0.03355128,0.999012072097122,7.958499,6.50043,-23.92573
7,4,13,93.3168086999651,0.02300396,0.999508424345594,4.136599,5.798054,0.02241489,0.999554184586239,11.59124,10.82442,-28.65539
8,4,13,93.6032895616517,0.0235459,0.999504798918824,2.775662,5.403737,0.02233726,0.999580757329811,6.245471,8.373133,-48.63439
9,4,13,92.7861691972811,0.0211716,0.999591646366221,4.536955,6.665251,0.03567191,0.99887446355341,11.51573,11.40788,-31.93122
10,4,13,94.8221892657721,0.01646181,0.999698668908599,7.195693,8.090893,0.03074617,0.999119748617218,27.26398,25.4861,-11.06429
11,4,13,94.0434608709958,0.02162853,0.999608179963531,5.357815,8.685062,0.03101578,0.999259838167888,15.90764,14.58388,-38.31001
12,4,13,92.2817195056992,0.02834379,0.999183977944127,4.709334,6.077775,0.03452819,0.998896213495723,11.5517,9.891749,-22.51549
13,4,13,95.0804641996273,0.01816562,0.999751872889811,5.662313,6.612809,0.04253885,0.998784784209414,14.63535,11.38237,-14.37357
14,4,13,95.0971179670201,0.02212057,0.999558879906357,4.339757,5.948255,0.03840106,0.998720032578509,10.49389,9.762207,-27.0415
15,4,13,96.3304954804228,0.01788262,0.999728535718764,6.042607,6.843552,0.02922178,0.999318450207394,12.85851,11.72546,-11.70363
